Daily,Closing Price
20-Nov-20,130.34
19-Nov-20,131.5
18-Nov-20,129.9
17-Nov-20,131
16-Nov-20,130.5
13-Nov-20,131
12-Nov-20,131
11-Nov-20,133.95
10-Nov-20,130.51
9-Nov-20,130.5
6-Nov-20,128
5-Nov-20,130.5
4-Nov-20,129
3-Nov-20,130.54
2-Nov-20,125.55
29-Oct-20,130
28-Oct-20,133.11
27-Oct-20,136
26-Oct-20,138.5
23-Oct-20,139
22-Oct-20,138.15
21-Oct-20,139.5
20-Oct-20,139.75
19-Oct-20,138
16-Oct-20,138.61
15-Oct-20,132.7
14-Oct-20,134.98
13-Oct-20,134
12-Oct-20,133.89
9-Oct-20,136.85
8-Oct-20,132.5
7-Oct-20,131
6-Oct-20,129.85
5-Oct-20,129.5
2-Oct-20,130.5
1-Oct-20,132.31
30-Sep-20,130.95
29-Sep-20,131
28-Sep-20,129.5
25-Sep-20,133.81
24-Sep-20,132
23-Sep-20,132.5
22-Sep-20,130.8
21-Sep-20,133
18-Sep-20,134.22
17-Sep-20,133.75
16-Sep-20,134.49
15-Sep-20,135.5
14-Sep-20,136.51
11-Sep-20,135.7
10-Sep-20,135.01
9-Sep-20,133
8-Sep-20,130.2
7-Sep-20,132
4-Sep-20,133.35
3-Sep-20,133.5
2-Sep-20,134.01
1-Sep-20,133
31-Aug-20,133.51
28-Aug-20,135.49
27-Aug-20,135.81
26-Aug-20,135.3
25-Aug-20,127.06
24-Aug-20,124.6
21-Aug-20,124.25
20-Aug-20,123
19-Aug-20,122.97
18-Aug-20,122.35
17-Aug-20,124
13-Aug-20,127.55
12-Aug-20,128.89
11-Aug-20,129.9
10-Aug-20,127.5
7-Aug-20,127
6-Aug-20,129.5
5-Aug-20,129.05
4-Aug-20,128.7
3-Aug-20,128.5
30-Jul-20,122.25
29-Jul-20,121.99
28-Jul-20,122.9
27-Jul-20,122.49
24-Jul-20,116.07
23-Jul-20,110.86
22-Jul-20,111.21
21-Jul-20,110
20-Jul-20,108.5
17-Jul-20,108.29
16-Jul-20,109.41
15-Jul-20,107.2
14-Jul-20,107.5
13-Jul-20,107
10-Jul-20,106.99
9-Jul-20,106.8
8-Jul-20,103.89
7-Jul-20,98.6
6-Jul-20,98.5
3-Jul-20,97.52
2-Jul-20,96.99
1-Jul-20,96.3
30-Jun-20,96.1
29-Jun-20,96
26-Jun-20,95.6
25-Jun-20,97
24-Jun-20,97.76
23-Jun-20,99.08
22-Jun-20,98.97
19-Jun-20,99.02
18-Jun-20,99.8
17-Jun-20,98.6
16-Jun-20,99.7
15-Jun-20,98.5
12-Jun-20,100.11
11-Jun-20,103.5
10-Jun-20,104.4
9-Jun-20,101.99
8-Jun-20,101.35
5-Jun-20,100.14
4-Jun-20,99.75
3-Jun-20,100.5
2-Jun-20,101.52
1-Jun-20,97.77
29-May-20,97.51
28-May-20,96
21-May-20,97.9
20-May-20,97.8
19-May-20,98.05
18-May-20,96.85
15-May-20,98
14-May-20,97.55
13-May-20,98.8
12-May-20,96.99
11-May-20,95
8-May-20,96.1
7-May-20,96.49
6-May-20,95
5-May-20,97.5
4-May-20,99.35
30-Apr-20,100.11
29-Apr-20,100.2
28-Apr-20,100.98
27-Apr-20,102
24-Apr-20,102.75
23-Apr-20,102.15
22-Apr-20,102.1
21-Apr-20,104.5
20-Apr-20,107.6
17-Apr-20,105.41
16-Apr-20,104.71
15-Apr-20,106.46
14-Apr-20,106.85
13-Apr-20,107
10-Apr-20,109
9-Apr-20,108.01
8-Apr-20,106.99
7-Apr-20,108
6-Apr-20,105.75
3-Apr-20,106.7
2-Apr-20,106
1-Apr-20,102.11
31-Mar-20,103.03
30-Mar-20,99.01
27-Mar-20,101
26-Mar-20,101
25-Mar-20,98.49
24-Mar-20,106.47
20-Mar-20,115.25
19-Mar-20,112
18-Mar-20,110.28
17-Mar-20,119.22
16-Mar-20,128.88
13-Mar-20,141
12-Mar-20,137.49
11-Mar-20,146.4
10-Mar-20,145
9-Mar-20,138.96
6-Mar-20,149.41
5-Mar-20,154.26
4-Mar-20,159.5
3-Mar-20,161
2-Mar-20,160.99
28-Feb-20,156.79
27-Feb-20,158.01
26-Feb-20,157
25-Feb-20,159
24-Feb-20,161.51
21-Feb-20,166
20-Feb-20,167.5
19-Feb-20,169.7
18-Feb-20,170.55
17-Feb-20,168.5
14-Feb-20,162
13-Feb-20,158.5
12-Feb-20,156.51
11-Feb-20,154.95
10-Feb-20,156.85
7-Feb-20,156.25
6-Feb-20,159
4-Feb-20,156.5
